,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
623,"Cedar Rapids, IA Metro Area-Bus",2002,0,34,1.1211250000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121125.0000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006,1.1211250000000006
624,"Cedar Rapids, IA Metro Area-Bus",2003,0,34,1.0770720000000005,-2667.391736856805,0.0,-9337.313927292911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47401.07836491038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005,1.0770720000000005
625,"Cedar Rapids, IA Metro Area-Bus",2004,0,34,1.0139120000000008,4149.642132040077,0.0,-61909.25420098752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22075.49849023379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008,1.0139120000000008
626,"Cedar Rapids, IA Metro Area-Bus",2005,0,34,1.0553229999999998,-901.3083884744392,0.0,461.45423835991744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15164.567869536582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998,1.0553229999999998
627,"Cedar Rapids, IA Metro Area-Bus",2006,0,34,1.0915359999999998,23410.09061321149,0.0,-441.8441411588183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1436.661386954671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998,1.0915359999999998
628,"Cedar Rapids, IA Metro Area-Bus",2007,0,34,1.1763880000000007,1090.3103786828656,0.0,35051.65025834296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29977.79120047436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007,1.1763880000000007
629,"Cedar Rapids, IA Metro Area-Bus",2008,0,34,1.2869759999999995,-58519.97685052115,0.0,-10185.964087657285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155804.76352181254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995,1.2869759999999995
630,"Cedar Rapids, IA Metro Area-Bus",2009,0,34,1.0434869999999996,-21772.52266599014,0.0,108181.68796773387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-268745.08091450395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996,1.0434869999999996
631,"Cedar Rapids, IA Metro Area-Bus",2010,0,34,1.0894289999999993,12602.23334848334,0.0,-89175.76515245282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112912.17222153756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993,1.0894289999999993
632,"Cedar Rapids, IA Metro Area-Bus",2011,0,34,1.1686729999999994,24022.79832240078,0.0,-2182.658442577053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27910.003294924485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994,1.1686729999999994
633,"Cedar Rapids, IA Metro Area-Bus",2012,0,34,1.216292999999999,1700.4153781719358,0.0,14694.20315711429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61986.66811913985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999,1.216292999999999
